customer_id,customer_name,gender,age_group,city,state,customer_segment,signup_date
C00074,Ati Ahluwalia,Female,25-34,Bhopal,Madhya Pradesh,Loyal,2025-02-04
C00075,Xavier Handa,Male,35-44,Madurai,Tamil Nadu,Regular,2024-01-19
C00076,Dayamai Kalla,Female,55+,Lucknow,Uttar Pradesh,High Value,2025-08-01
C00077,Yashawini Pall,Male,55+,Bhopal,Madhya Pradesh,Regular,2025-05-22
C00078,Ojas Gara,Male,35-44,Trichy,Tamil Nadu,New,2024-12-02
C00079,Januja Dhingra,Male,35-44,Trichy,Tamil Nadu,Regular,2024-10-21
C00080,Kamala Garde,Female,25-34,Hyderabad,Telangana,Regular,2024-10-11
C00081,Riya Karpe,Female,35-44,Pune,Maharashtra,Loyal,2024-01-26
C00082,Ishaan Rattan,Male,45-54,Coimbatore,Tamil Nadu,Loyal,2023-12-13
C00083,Chavvi Sur,Male,35-44,Coimbatore,Tamil Nadu,Loyal,2024-04-09
C00084,Tejas Sane,Male,45-54,Pune,Maharashtra,Regular,2025-03-11
C00085,Vincent Ramaswamy,Male,18-24,Kochi,Kerala,New,2026-05-20
C00086,Nidra Thaker,Male,35-44,Bengaluru,Karnataka,Regular,2025-10-11
C00087,Ojasvi Deshmukh,Female,25-34,Bengaluru,Karnataka,New,2024-06-19
C00088,Saumya Chowdhury,Male,35-44,Ahmedabad,Gujarat,Regular,2025-04-22
C00089,Pranav Yogi,Male,35-44,Mumbai,Maharashtra,Loyal,2023-10-03
C00090,George Ray,Male,25-34,Kochi,Kerala,Loyal,2026-06-05
C00091,Bakhshi Narain,Female,18-24,Mysuru,Karnataka,New,2023-10-30
C00092,Shivansh Virk,Female,25-34,Jaipur,Rajasthan,Regular,2025-07-07
C00093,Ekantika Raja,Female,18-24,,Tamil Nadu,Loyal,2025-04-17
C00094,Gautami Grewal,Male,45-54,Mumbai,Maharashtra,Regular,2025-05-08
C00095,Chatura Wali,Male,18-24,Mumbai,Maharashtra,Regular,2024-09-27
C00096,Leena Chad,Female,35-44,Kolkata,West Bengal,Loyal,2024-12-29
C00097,Advik Sankaran,Female,55+,Pune,Maharashtra,Regular,2025-12-17
C00098,Rushil Desai,Female,18-24,Patna,Bihar,New,2026-02-02
C00099,Neelima Bajaj,Male,55+,Pune,Maharashtra,High Value,2024-06-24
C00100,Theodore Narain,Male,18-24,Pune,Maharashtra,Regular,2024-11-22
C00101,Niharika Rama,Female,45-54,Ahmedabad,Gujarat,Regular,2025-04-22
C00102,Gautami Chadha,Male,45-54,Bhopal,Madhya Pradesh,Loyal,2026-05-23
C00103,Kavya Wable,Female,18-24,Hyderabad,Telangana,Loyal,2024-03-26
C00104,Anamika Baria,Male,35-44,Chennai,Tamil Nadu,Regular,2025-12-01
C00105,Chakradev Ghosh,Female,18-24,Jaipur,Rajasthan,Loyal,2025-04-17
C00106,Arin Mitter,Female,45-54,Delhi,Delhi,Regular,2026-02-26
C00107,Wyatt Baria,Male,25-34,Delhi,Delhi,Regular,2025-11-06
C00108,Chanakya Narula,Male,55+,Kolkata,West Bengal,Regular,2024-09-14
C00109,Falak Buch,Male,35-44,Kolkata,West Bengal,Regular,2024-05-24
C00110,Yashica Bassi,Female,45-54,Kochi,Kerala,Regular,2024-11-04
C00111,Arunima Bhargava,Female,25-34,Hyderabad,Telangana,Regular,2023-08-20
C00112,Ekbal Wagle,Female,18-24,Delhi,Delhi,Loyal,2024-03-22
C00113,Advik Bains,Female,25-34,Mumbai,Maharashtra,Loyal,2026-06-20
C00114,Ekalinga Minhas,Male,18-24,Bengaluru,Karnataka,Regular,2025-08-17
C00115,Lakshit Devi,Male,45-54,Indore,Madhya Pradesh,Regular,2023-10-01
C00116,Harrison Narula,Male,45-54,Bhubaneswar,Odisha,Regular,2023-11-01
C00117,Thomas Patla,Male,18-24,Mumbai,Maharashtra,Loyal,2024-08-31
C00118,Kritika Deep,Female,25-34,Trichy,Tamil Nadu,New,2025-03-30
C00119,Devika Varma,Female,18-24,Bhopal,Madhya Pradesh,Regular,2025-08-11
C00120,Ekapad Vohra,Female,25-34,Trichy,Tamil Nadu,Loyal,2025-04-02
C00121,Udant Baria,Female,45-54,Bhopal,Madhya Pradesh,Regular,2025-03-01
C00122,Chasmum De,Female,55+,Bhopal,Madhya Pradesh,Regular,2025-03-30
C00123,Pallavi Talwar,Female,45-54,Mysuru,Karnataka,Regular,2024-07-03
C00124,Tristan Nagar,Female,55+,Mumbai,Maharashtra,Regular,2025-05-05
C00125,Faras Bajaj,Female,45-54,Mumbai,Maharashtra,New,2025-06-20
C00126,Guneet Kibe,Male,35-44,Delhi,Delhi,Regular,2026-02-01
C00127,Chatresh Tank,Male,25-34,Patna,Bihar,New,2025-10-24
C00128,Imaran Mohanty,Male,25-34,Kolkata,West Bengal,New,2026-01-04
C00129,Dhriti Pingle,Female,55+,Kochi,Kerala,Regular,2025-06-23
C00130,Gaurang Deshpande,Male,45-54,Coimbatore,Tamil Nadu,Regular,2026-04-19
C00131,Harini Bhakta,Male,55+,Bhubaneswar,Odisha,Regular,2023-12-26
C00132,Brijesh Bhatnagar,Female,35-44,Chennai,Tamil Nadu,Loyal,2026-03-07
C00133,William Gour,Male,45-54,Kochi,Kerala,Regular,2023-12-30
C00134,Chaitanya Anand,Female,18-24,Kochi,Kerala,Regular,2025-12-07
C00135,Leela Minhas,Male,45-54,Kolkata,West Bengal,Loyal,2025-03-14
C00136,Zaid Minhas,Male,45-54,Visakhapatnam,Andhra Pradesh,Regular,2026-02-06
C00137,Hemang Nazareth,Male,45-54,Chennai,Tamil Nadu,New,2025-09-28
C00138,Garima Hayer,Male,18-24,Lucknow,Uttar Pradesh,Regular,2025-12-23
C00139,Wyatt Devan,Male,45-54,Jaipur,Rajasthan,Regular,2024-02-15
C00140,Samar Guha,Female,45-54,Kolkata,West Bengal,Regular,2025-06-02
C00141,Hemang Bandi,Female,18-24,Madurai,Tamil Nadu,Loyal,2024-10-16
C00142,Naveen Dugar,Female,25-34,Coimbatore,Tamil Nadu,Regular,2024-10-25
C00143,Bakhshi Prabhu,Male,25-34,Coimbatore,Tamil Nadu,New,2025-11-17
C00144,Chatura Sathe,Male,25-34,Chennai,Tamil Nadu,New,2023-10-03
C00145,Balveer Doctor,Male,45-54,Trichy,Tamil Nadu,Regular,2025-04-28
C00146,Indali Madan,Male,55+,Ahmedabad,Gujarat,Regular,2025-08-16
C00147,Umang Prashad,Male,35-44,Trichy,Tamil Nadu,New,2024-09-27
C00148,Samaksh Bahl,Female,55+,Chennai,Tamil Nadu,Regular,2024-09-24
C00149,Waida Mall,Female,25-34,Kolkata,West Bengal,New,2024-09-28
C00150,Mason Goda,Male,35-44,Mumbai,Maharashtra,Loyal,2024-01-28
C00151,Aradhana Upadhyay,Male,55+,Visakhapatnam,Andhra Pradesh,Loyal,2024-01-07
C00152,Urvi Dhillon,Female,35-44,Ahmedabad,Gujarat,New,2024-11-05
C00153,Balveer Gala,Male,45-54,Jaipur,Rajasthan,Loyal,2024-01-30
C00154,Eshana Khalsa,Female,35-44,Trichy,Tamil Nadu,Regular,2026-05-21
C00155,Ekaraj Tella,Male,45-54,Lucknow,Uttar Pradesh,New,2024-08-18
C00156,Hemang Amble,Female,55+,Bhopal,Madhya Pradesh,Loyal,2026-04-06
C00157,Ranbir Varty,Female,45-54,Patna,Bihar,Regular,2025-02-13
C00158,Bhavna Sachdeva,Female,35-44,Bhubaneswar,Odisha,Loyal,2024-12-02
C00159,Simon Mangat,Female,45-54,Madurai,Tamil Nadu,Regular,2025-09-17
C00160,Bakhshi Maharaj,Female,35-44,Lucknow,Uttar Pradesh,New,2025-09-23
C00161,Ekanta Bhardwaj,Male,45-54,Jaipur,Rajasthan,Regular,2024-11-08
C00162,Anusha Dash,Female,35-44,Pune,Maharashtra,Loyal,2023-10-12
C00163,Wriddhish Bhasin,Male,55+,Pune,Maharashtra,Loyal,2024-07-31
C00164,Forum Parikh,Male,45-54,Madurai,Tamil Nadu,Regular,2026-05-14
C00165,Ayushman Viswanathan,Female,45-54,Mumbai,Maharashtra,Regular,2026-01-10
C00166,Chakradev Kaur,Male,35-44,Chennai,Tamil Nadu,Regular,2025-01-20
C00167,Nimrat Swamy,Female,55+,Mumbai,Maharashtra,Regular,2024-03-24
C00168,Girish Raja,Female,45-54,Patna,Bihar,High Value,2024-08-09
C00169,Guneet Nayar,Female,35-44,Patna,Bihar,Loyal,2024-03-05
C00170,Gayathri Shere,Female,35-44,Pune,Maharashtra,Regular,2024-03-23
C00171,Ria Rau,Female,18-24,Hyderabad,Telangana,Loyal,2024-11-20
C00172,Vamakshi Choudhury,Male,25-34,Mysuru,Karnataka,Loyal,2024-01-27
C00173,Ekani Swamy,Female,18-24,Pune,Maharashtra,Loyal,2026-06-18
C00174,Ria Tank,Male,35-44,Delhi,Delhi,New,2026-03-22
C00175,Jason Mohan,Male,35-44,Chennai,Tamil Nadu,New,2026-02-11
C00176,Aayush Sarin,Female,25-34,Coimbatore,Tamil Nadu,Regular,2025-12-18
C00177,Lopa Parekh,Male,18-24,Indore,Madhya Pradesh,Regular,2026-05-01
C00178,Adweta Bandi,Female,45-54,Indore,Madhya Pradesh,Regular,2025-03-21
C00179,Vedhika Shanker,Female,45-54,Coimbatore,Tamil Nadu,New,2024-12-16
C00180,Yasti Dey,Female,45-54,Madurai,Tamil Nadu,New,2023-09-11
C00181,Balvan Karan,Male,25-34,Coimbatore,Tamil Nadu,Loyal,2024-12-27
C00182,Chandani Lal,Male,25-34,Delhi,Delhi,New,2024-01-18
C00183,Ishwar Venkataraman,Male,55+,Kochi,Kerala,Regular,2026-05-20
C00184,Vedika Raj,Female,55+,Lucknow,Uttar Pradesh,High Value,2025-01-26
C00185,Jacob Chacko,Male,55+,Delhi,Delhi,High Value,2025-06-27
C00186,Gunbir Nayar,Male,25-34,Trichy,Tamil Nadu,Regular,2024-11-01
C00187,Wishi Dugar,Male,25-34,Madurai,Tamil Nadu,New,2025-07-26
C00188,Manthan Desai,Male,18-24,Madurai,Tamil Nadu,Regular,2023-10-20
C00189,Kiaan Bhattacharyya,Female,35-44,Visakhapatnam,Andhra Pradesh,New,2025-09-18
C00190,Michael Gole,Female,45-54,Delhi,Delhi,New,2023-10-19
C00191,Champak Bansal,Female,55+,Mumbai,Maharashtra,Regular,2025-05-30
C00192,Madhav Nayak,Female,18-24,Hyderabad,Telangana,Regular,2023-10-25
C00193,Madhavi Chanda,Female,25-34,Bengaluru,Karnataka,New,2025-06-26
C00194,Abha Soni,Female,55+,Mysuru,Karnataka,Loyal,2025-11-21
C00195,Bachittar Choudhury,Female,45-54,Bhubaneswar,Odisha,New,2026-04-21
C00196,Ishanvi Madan,Female,35-44,Delhi,Delhi,Regular,2024-02-16
C00197,Bhavna Jani,Female,18-24,Indore,Madhya Pradesh,Regular,2023-09-30
C00198,Rohan Desai,Female,55+,Kochi,Kerala,Regular,2024-07-06
C00199,Aditya Ramanathan,Male,55+,Madurai,Tamil Nadu,Regular,2026-01-06
C00200,Patrick Tiwari,Female,55+,Chennai,Tamil Nadu,New,2024-01-28
C00201,Lila Kuruvilla,Female,55+,Mysuru,Karnataka,Regular,2024-11-20
C00202,Ojas Dar,Male,55+,Pune,Maharashtra,Regular,2025-11-07
C00203,Abeer Madan,Male,45-54,Indore,Madhya Pradesh,Regular,2025-05-17
C00204,Nakul Nair,Female,18-24,Jaipur,Rajasthan,Loyal,2023-10-22
C00205,Varenya Shere,Female,45-54,Jaipur,Rajasthan,Regular,2025-08-31
C00206,Niharika Grewal,Male,45-54,Kolkata,West Bengal,New,2025-10-17
C00207,Harita Nair,Female,18-24,Pune,Maharashtra,High Value,2025-05-10
C00208,Kabir Dave,Male,55+,Kolkata,West Bengal,Regular,2023-11-13
C00209,Tanish Kala,Male,55+,Coimbatore,Tamil Nadu,Regular,2025-04-11
C00210,Ayushman Pai,Female,18-24,Indore,Madhya Pradesh,Regular,2026-04-09
C00211,Vivaan Raman,Male,35-44,Patna,Bihar,Regular,2024-11-15
C00212,Turvi Nagy,Male,18-24,Indore,Madhya Pradesh,High Value,2025-11-30
C00213,Utkarsh Mishra,Male,25-34,Visakhapatnam,Andhra Pradesh,Regular,2025-06-11
C00214,Ijaya Chaudhry,Female,18-24,Chennai,Tamil Nadu,Regular,2026-05-01
C00215,Dominic Merchant,Female,18-24,Trichy,Tamil Nadu,Regular,2024-03-24
C00216,Zilmil Mann,Female,35-44,Bengaluru,Karnataka,Regular,2023-11-12
C00217,Zansi Mallick,Female,45-54,Pune,Maharashtra,High Value,2023-10-11
C00218,Leela Ganesan,Female,55+,Mumbai,Maharashtra,New,2023-10-18
C00219,Darika Mand,Male,18-24,Hyderabad,Telangana,Regular,2024-09-09
C00220,Meera Loke,Female,55+,Kochi,Kerala,Regular,2026-01-12
C00221,Quincy Walia,Female,35-44,Chennai,Tamil Nadu,Loyal,2025-11-11
C00222,Girik Bobal,Female,25-34,Bhubaneswar,Odisha,Regular,2024-11-17
C00223,Udarsh Atwal,Female,35-44,Indore,Madhya Pradesh,Regular,2025-05-26
C00224,Nihal Mody,Female,45-54,Patna,Bihar,Loyal,2025-04-13
C00225,Onkar Mital,Male,55+,Hyderabad,Telangana,Regular,2023-08-11
C00226,Ishanvi Lala,Male,35-44,Kochi,Kerala,Loyal,2023-10-27
C00227,Henry Hora,Female,25-34,Kolkata,West Bengal,Regular,2024-11-16
C00228,Advay Pathak,Male,55+,Coimbatore,Tamil Nadu,High Value,2023-08-17
C00229,Upma Sodhi,Male,45-54,Jaipur,Rajasthan,New,2025-09-26
C00230,Jai Bakshi,Male,25-34,Lucknow,Uttar Pradesh,Regular,2024-09-16
C00231,Ojasvi Iyer,Male,45-54,Bengaluru,Karnataka,Loyal,2026-01-17
C00232,Balhaar Kapoor,Female,55+,Pune,Maharashtra,Regular,2025-05-14
C00233,Aachal Sami,Female,55+,Madurai,Tamil Nadu,Regular,2024-01-15
C00234,Farhan Karnik,Female,55+,Jaipur,Rajasthan,New,2025-08-13
C00235,Gavin Rana,Male,35-44,Madurai,Tamil Nadu,High Value,2023-11-03
C00236,Janaki Sastry,Female,18-24,Madurai,Tamil Nadu,Loyal,2026-04-09
C00237,Jyoti Lanka,Female,25-34,Trichy,Tamil Nadu,Regular,2024-05-18
C00238,Fariq Khalsa,Male,35-44,Chennai,Tamil Nadu,Loyal,2024-07-21
C00239,Gauri Bali,Female,35-44,Delhi,Delhi,Regular,2023-11-27
C00240,Advaith Din,Female,55+,Mumbai,Maharashtra,Regular,2024-09-19
C00241,Nitara Sethi,Male,25-34,Mysuru,Karnataka,New,2024-05-20
C00242,Tarak Soman,Male,45-54,Kolkata,West Bengal,Loyal,2026-04-11
C00243,Laksh Nanda,Male,45-54,Bengaluru,Karnataka,Regular,2024-04-30
C00244,Ijaya Goel,Female,18-24,Lucknow,Uttar Pradesh,Loyal,2026-06-30
C00245,Bhanumati Dhar,Female,55+,Lucknow,Uttar Pradesh,New,2024-02-15
C00246,Ishwar Srinivasan,Female,55+,Lucknow,Uttar Pradesh,Regular,2024-12-05
C00247,Urishilla Taneja,Female,45-54,Kochi,Kerala,Loyal,2024-09-16
C00248,Urvi Kar,Female,45-54,Hyderabad,Telangana,New,2024-11-13
C00249,Anirudh Suri,Female,55+,Kolkata,West Bengal,Regular,2026-03-28
C00250,Abhiram Datta,Male,45-54,Delhi,Delhi,Regular,2025-03-27
C00251,Maanas Sekhon,Male,55+,Bhubaneswar,Odisha,Loyal,2025-12-17
C00252,Niharika Dube,Male,55+,Delhi,Delhi,Loyal,2024-05-09
C00253,Imaran Bala,Male,55+,Mumbai,Maharashtra,Regular,2025-05-01
C00254,Lekha Naik,Male,18-24,Bengaluru,Karnataka,Regular,2026-03-18
C00255,Utkarsh Pradhan,Male,55+,Lucknow,Uttar Pradesh,Regular,2025-07-26
C00256,Yamini Jha,Male,35-44,Bengaluru,Karnataka,Regular,2024-04-27
C00257,Amruta Bansal,Male,25-34,Kochi,Kerala,New,2025-01-14
C00258,Urmi Wagle,Female,55+,Patna,Bihar,Regular,2026-04-01
C00259,Bina Venkataraman,Male,35-44,Pune,Maharashtra,Loyal,2024-02-27
C00260,Raagini Uppal,Female,35-44,Indore,Madhya Pradesh,Loyal,2023-10-28
C00261,Vidhi Korpal,Male,25-34,Lucknow,Uttar Pradesh,Loyal,2026-06-30
C00262,Ekantika Bhattacharyya,Female,55+,Mumbai,Maharashtra,Regular,2025-07-01
C00263,Pratyush Basu,Male,35-44,Kolkata,West Bengal,Regular,2025-03-01
C00264,Kamala Char,Female,35-44,Lucknow,Uttar Pradesh,Regular,2025-02-03
C00265,Nirja Gara,Male,25-34,Ahmedabad,Gujarat,Regular,2026-02-25
C00266,Harsh Rastogi,Female,55+,Visakhapatnam,Andhra Pradesh,Regular,2023-10-10
C00267,Oeshi Narula,Female,35-44,Madurai,Tamil Nadu,Regular,2026-02-01
C00268,Adweta Kar,Male,18-24,Trichy,Tamil Nadu,Loyal,2024-11-30
C00269,Bahadurjit Parmar,Female,18-24,Delhi,Delhi,New,2024-10-26
C00270,Chanakya Dhaliwal,Male,45-54,Patna,Bihar,Regular,2026-07-03
C00271,Ranveer Naik,Female,55+,Patna,Bihar,Loyal,2025-03-25
C00272,Neha Mohanty,Female,18-24,Bengaluru,Karnataka,Loyal,2023-12-18
C00273,Yashasvi Sahota,Female,35-44,Visakhapatnam,Andhra Pradesh,New,2025-12-14
C00274,Raksha Joshi,Male,45-54,Ahmedabad,Gujarat,Regular,2026-03-28
C00275,Panini Radhakrishnan,Female,18-24,Mumbai,Maharashtra,High Value,2024-03-27
C00276,Ubika Dubey,Female,18-24,Ahmedabad,Gujarat,Regular,2024-10-03
C00277,Anjali Mukherjee,Male,45-54,Hyderabad,Telangana,New,2025-07-08
C00278,Laban Yohannan,Male,18-24,Hyderabad,Telangana,Loyal,2024-07-30
C00279,Rachit Swamy,Male,55+,Mumbai,Maharashtra,Regular,2026-05-16
C00280,Wahab Bali,Male,55+,Patna,Bihar,Regular,2025-04-29
C00281,Teerth Sridhar,Female,25-34,Mumbai,Maharashtra,Loyal,2023-12-15
C00282,Vaishnavi Modi,Male,35-44,Visakhapatnam,Andhra Pradesh,Loyal,2024-11-20
C00283,Urishilla Bhat,Male,55+,Bengaluru,Karnataka,Regular,2026-03-26
C00284,Chandani Sanghvi,Male,18-24,Mysuru,Karnataka,New,2025-03-05
C00285,Liam Manda,Male,55+,Ahmedabad,Gujarat,Regular,2023-08-14
C00286,Ekanta Sabharwal,Female,18-24,Mysuru,Karnataka,New,2024-08-01
C00287,Irya Palan,Male,18-24,Kochi,Kerala,Regular,2023-12-04
C00288,Abhimanyu Lad,Male,45-54,Ahmedabad,Gujarat,Regular,2025-02-05
C00289,Adweta Chander,Male,55+,Visakhapatnam,Andhra Pradesh,Regular,2024-10-10
C00290,Bhavani Das,Male,45-54,Chennai,Tamil Nadu,Loyal,2025-05-07
C00291,Netra Kant,Male,45-54,Kochi,Kerala,Loyal,2026-05-31
C00292,Dalaja Sastry,Male,18-24,Lucknow,Uttar Pradesh,Regular,2023-09-30
C00293,Zaitra Viswanathan,Male,25-34,Bengaluru,Karnataka,Regular,2025-08-17
C00294,Elijah Varghese,Female,45-54,Bhubaneswar,Odisha,High Value,2025-03-12
C00295,Banjeet Kashyap,Female,45-54,Bhopal,Madhya Pradesh,Regular,2024-03-20
C00296,Hemani Ravi,Male,18-24,Kochi,Kerala,Loyal,2023-12-08
C00297,Neelima Krishnan,Male,45-54,Patna,Bihar,Regular,2024-05-25
C00298,Nihal Raghavan,Female,35-44,Mumbai,Maharashtra,Loyal,2024-11-11
C00299,Zashil Saha,Female,18-24,Kolkata,West Bengal,Regular,2025-12-01
C00300,Chasmum Patla,Female,35-44,Jaipur,Rajasthan,High Value,2025-08-03
C00301,Farhan Misra,Male,18-24,Indore,Madhya Pradesh,Loyal,2025-12-09
C00302,Lopa Kakar,Female,18-24,Madurai,Tamil Nadu,Loyal,2024-12-04
C00303,Chandran Deshpande,Male,55+,Ahmedabad,Gujarat,New,2025-04-08
C00304,Brinda Bobal,Female,18-24,Patna,Bihar,Regular,2024-12-22
C00305,Amol Parekh,Male,35-44,Kochi,Kerala,Regular,2025-03-29
C00306,Vamakshi Rege,Male,55+,Ahmedabad,Gujarat,Regular,2023-11-26
C00307,William Kannan,Female,25-34,Bengaluru,Karnataka,Loyal,2025-12-11
C00308,Pooja Chhabra,Female,18-24,Ahmedabad,Gujarat,Loyal,2024-07-24
C00309,Ekbal Memon,Male,45-54,Bhubaneswar,Odisha,Loyal,2025-08-01
C00310,Naksh Devan,Male,55+,Visakhapatnam,Andhra Pradesh,Loyal,2023-11-23
C00311,Nathan Karan,Male,25-34,Pune,Maharashtra,Regular,2024-08-30
C00312,Qasim Deshmukh,Female,35-44,Delhi,Delhi,New,2026-05-10
C00313,Ayaan Chokshi,Female,18-24,Bengaluru,Karnataka,New,2026-01-19
C00314,Hardik Sarkar,Male,55+,Chennai,Tamil Nadu,Regular,2026-03-09
C00315,Tripti Ahuja,Female,35-44,Kochi,Kerala,New,2025-10-23
C00316,Oni Vaidya,Female,55+,Delhi,Delhi,Regular,2025-02-20
C00317,Vritti Sarin,Male,25-34,Coimbatore,Tamil Nadu,Loyal,2025-04-03
